,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2013,2013-09-08,1,1,22.333,NYJ,,TAM,W 18-17,*,24,38,63.16,256,1,1,80.6,5,42,6.74,6.08,6,47,7.83,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,,Geno Smith,SmitGe00
1,2,2013,2013-09-12,2,2,22.337,NYJ,@,NWE,L 10-13,*,15,35,42.86,214,0,3,27.6,4,25,6.11,2.26,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Geno Smith,SmitGe00
2,3,2013,2013-09-22,3,3,22.347,NYJ,,BUF,W 27-20,*,16,29,55.17,331,2,2,89.9,0,0,11.41,9.69,4,14,3.50,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%,,Geno Smith,SmitGe00
3,4,2013,2013-09-29,4,4,22.354,NYJ,@,TEN,L 13-38,*,23,34,67.65,289,1,2,79.2,5,50,8.50,6.44,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,65,100%,0,0%,0,0%,,Geno Smith,SmitGe00
4,5,2013,2013-10-07,5,5,22.362,NYJ,@,ATL,W 30-28,*,16,20,80.00,199,3,0,147.7,4,29,9.95,12.95,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,46,100%,0,0%,0,0%,,Geno Smith,SmitGe00
5,6,2013,2013-10-13,6,6,23.003,NYJ,,PIT,L 6-19,*,19,34,55.88,201,0,2,48.8,3,17,5.91,3.26,3,8,2.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,58,100%,0,0%,0,0%,,Geno Smith,SmitGe00
6,7,2013,2013-10-20,7,7,23.010,NYJ,,NWE,W 30-27,*,17,33,51.52,233,1,1,71.9,4,27,7.06,6.30,6,32,5.33,1,0,0,0,,0,0.0%,,1,6,2,0,0,1,0,0,91,100%,0,0%,0,0%,,Geno Smith,SmitGe00
7,8,2013,2013-10-27,8,8,23.017,NYJ,@,CIN,L 9-49,*,20,30,66.67,159,0,2,51.9,3,28,5.30,2.30,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,51,76%,0,0%,0,0%,,Geno Smith,SmitGe00
8,9,2013,2013-11-03,9,9,23.024,NYJ,,NOR,W 26-20,*,8,19,42.11,115,0,0,62.4,2,0,6.05,6.05,6,18,3.00,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Geno Smith,SmitGe00
9,10,2013,2013-11-17,10,11,23.038,NYJ,@,BUF,L 14-37,*,8,23,34.78,103,0,3,10.1,4,30,4.48,-1.39,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-2,0,45,78%,0,0%,0,0%,,Geno Smith,SmitGe00
10,11,2013,2013-11-24,11,12,23.045,NYJ,@,BAL,L 3-19,*,9,22,40.91,127,0,2,22.3,3,22,5.77,1.68,3,6,2.00,0,1,1,13,13.00,0,100.0%,13.00,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Geno Smith,SmitGe00
11,12,2013,2013-12-01,12,13,23.052,NYJ,,MIA,L 3-23,*,4,10,40.00,29,0,1,8.3,1,8,2.90,-1.60,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,18,33%,0,0%,0,0%,,Geno Smith,SmitGe00
12,13,2013,2013-12-08,13,14,23.059,NYJ,,OAK,W 37-27,*,16,25,64.00,219,1,1,88.6,1,10,8.76,7.76,5,50,10.00,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Geno Smith,SmitGe00
13,14,2013,2013-12-15,14,15,23.066,NYJ,@,CAR,L 20-30,*,15,28,53.57,167,1,1,68.6,4,27,5.96,5.07,6,44,7.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Geno Smith,SmitGe00
14,15,2013,2013-12-22,15,16,23.073,NYJ,,CLE,W 24-13,*,20,36,55.56,214,2,0,91.7,0,0,5.94,7.06,10,48,4.80,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,77,100%,0,0%,0,0%,,Geno Smith,SmitGe00
15,16,2013,2013-12-29,16,17,23.080,NYJ,@,MIA,W 20-7,*,17,27,62.96,190,0,0,83.9,0,0,7.04,7.04,10,44,4.40,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,72,100%,0,0%,0,0%,,Geno Smith,SmitGe00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Geno Smith,SmitGe00
17,17,2014,2014-09-07,1,1,23.332,NYJ,,OAK,W 19-14,*,23,28,82.14,221,1,1,96.6,2,31,7.89,7.00,10,38,3.80,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,0,0,70,100%,0,0%,0,0%,,Geno Smith,SmitGe00
18,18,2014,2014-09-14,2,2,23.339,NYJ,@,GNB,L 24-31,*,16,32,50.00,176,1,1,64.1,1,7,5.50,4.72,7,26,3.71,1,0,0,0,,0,0.0%,,1,6,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Geno Smith,SmitGe00
19,19,2014,2014-09-22,3,3,23.347,NYJ,,CHI,L 19-27,*,26,43,60.47,316,1,2,71.5,3,16,7.35,5.72,3,20,6.67,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,74,100%,0,0%,0,0%,,Geno Smith,SmitGe00
20,20,2014,2014-09-28,4,4,23.353,NYJ,,DET,L 17-24,*,17,33,51.52,209,1,1,68.9,2,5,6.33,5.58,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,2,1,0,1,-17,0,64,100%,0,0%,0,0%,,Geno Smith,SmitGe00
21,21,2014,2014-10-05,5,5,23.360,NYJ,@,SDG,L 0-31,*,4,12,33.33,27,0,1,7.6,0,0,2.25,-1.50,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,23,40%,0,0%,0,0%,,Geno Smith,SmitGe00
22,22,2014,2014-10-12,6,6,24.002,NYJ,,DEN,L 17-31,*,23,43,53.49,190,2,1,70.9,4,17,4.42,4.30,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,63,100%,0,0%,0,0%,,Geno Smith,SmitGe00
23,23,2014,2014-10-16,7,7,24.006,NYJ,@,NWE,L 25-27,*,20,34,58.82,226,1,0,88.6,3,21,6.65,7.24,7,37,5.29,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-2,0,86,99%,0,0%,0,0%,,Geno Smith,SmitGe00
24,24,2014,2014-10-26,8,8,24.016,NYJ,,BUF,L 23-43,*,2,8,25.00,5,0,3,0.0,0,0,0.63,-16.25,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,11,13%,0,0%,0,0%,,Geno Smith,SmitGe00
25,25,2014,2014-11-02,9,9,,NYJ,@,KAN,L 10-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Geno Smith,SmitGe00
26,26,2014,2014-11-09,10,10,,NYJ,,PIT,W 20-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
27,27,2014,2014-11-24,11,12,24.045,NYJ,@,BUF,L 3-38,,10,12,83.33,89,0,0,97.6,2,9,7.42,7.42,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,22,38%,0,0%,0,0%,,Geno Smith,SmitGe00
28,28,2014,2014-12-01,12,13,24.052,NYJ,,MIA,L 13-16,*,7,13,53.85,65,0,1,35.7,2,16,5.00,1.54,4,19,4.75,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-2,0,64,100%,0,0%,0,0%,,Geno Smith,SmitGe00
29,29,2014,2014-12-07,13,14,24.058,NYJ,@,MIN,L 24-30,*,18,29,62.07,254,1,1,87.4,3,12,8.76,7.90,6,33,5.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,78,100%,0,0%,0,0%,,Geno Smith,SmitGe00
30,30,2014,2014-12-14,14,15,24.065,NYJ,@,TEN,W 16-11,*,16,28,57.14,179,1,0,88.2,3,16,6.39,7.11,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Geno Smith,SmitGe00
31,31,2014,2014-12-21,15,16,24.072,NYJ,,NWE,L 16-17,*,17,27,62.96,210,1,1,83.9,2,19,7.78,6.85,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Geno Smith,SmitGe00
32,32,2014,2014-12-28,16,17,24.079,NYJ,@,MIA,W 37-24,*,20,25,80.00,358,3,0,158.3,1,6,14.32,16.72,5,18,3.60,0,1,0,0,,0,0.0%,0.00,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,,Geno Smith,SmitGe00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Geno Smith,SmitGe00
34,33,2015,2015-09-13,1,1,,NYJ,,CLE,W 31-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Geno Smith,SmitGe00
35,34,2015,2015-09-21,2,2,,NYJ,@,IND,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Geno Smith,SmitGe00
36,35,2015,2015-09-27,3,3,,NYJ,,PHI,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
37,36,2015,2015-10-04,4,4,,NYJ,@,MIA,W 27-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
38,37,2015,2015-10-18,5,6,,NYJ,,WAS,W 34-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
39,38,2015,2015-10-25,6,7,,NYJ,@,NWE,L 23-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
40,39,2015,2015-11-01,7,8,25.022,NYJ,@,OAK,L 20-34,,27,42,64.29,265,2,1,87.9,3,19,6.31,6.19,2,34,17.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,89%,0,0%,0,0%,,Geno Smith,SmitGe00
41,40,2015,2015-11-08,8,9,,NYJ,,JAX,W 28-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
42,41,2015,2015-11-12,9,10,,NYJ,,BUF,L 17-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
43,42,2015,2015-11-22,10,11,,NYJ,@,HOU,L 17-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Geno Smith,SmitGe00
